"bookUrl","score","votes"
"https://www.goodreads.com/book/show/13023.Alice_in_Wonderland","82101","1070"
"https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild","81715","1063"
"https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull","81318","993"
"https://www.goodreads.com/book/show/2175.Madame_Bovary","80572","1009"
"https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth","80126","941"
"https://www.goodreads.com/book/show/40940121-bridge-to-terabithia","79772","1008"
"https://www.goodreads.com/book/show/7938275-the-hunger-games-trilogy-boxset","79529","939"
"https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_","79143","1007"
"https://www.goodreads.com/book/show/6186357-the-maze-runner","78826","907"
"https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire","78802","981"
"https://www.goodreads.com/book/show/18254.Oliver_Twist","77895","1057"
"https://www.goodreads.com/book/show/27712.The_Neverending_Story","77697","944"
"https://www.goodreads.com/book/show/338798.Ulysses","77635","924"
"https://www.goodreads.com/book/show/295.Treasure_Island","77306","1044"
"https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey","76010","858"
"https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear","75375","927"
"https://www.goodreads.com/book/show/62291.A_Storm_of_Swords","74110","858"
"https://www.goodreads.com/book/show/2696.The_Canterbury_Tales","73729","983"
"https://www.goodreads.com/book/show/7069.The_World_According_to_Garp","73025","906"
"https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms","72855","935"
"https://www.goodreads.com/book/show/58696.David_Copperfield","72681","956"
"https://www.goodreads.com/book/show/6350972-tote-m-dchen-l-gen-nicht","71281","817"
"https://www.goodreads.com/book/show/37442.Wicked","70159","848"
"https://www.goodreads.com/book/show/402093.Sh_gun","68605","840"
"https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close","68176","781"
"https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express","68150","885"
"https://www.goodreads.com/book/show/18116.His_Dark_Materials","67637","790"
"https://www.goodreads.com/book/show/3008.A_Little_Princess","67405","857"
"https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl","67337","826"
"https://www.goodreads.com/book/show/375013.Schindler_s_List","67279","887"
"https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas","66847","829"
"https://www.goodreads.com/book/show/9361589-the-night-circus","66011","748"
"https://www.goodreads.com/book/show/40604658-jurassic-park","65952","826"
"https://www.goodreads.com/book/show/6487308-fallen","65731","761"
"https://www.goodreads.com/book/show/6527740-last-sacrifice","65482","769"
"https://www.goodreads.com/book/show/7332.The_Silmarillion","64489","778"
"https://www.goodreads.com/book/show/514811.The_Secret_Magdalene","63985","657"
"https://www.goodreads.com/book/show/6149.Beloved","63925","795"
"https://www.goodreads.com/book/show/10507293-the-selection","63230","718"
"https://www.goodreads.com/book/show/17690.The_Trial","63047","775"
"https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces","63046","727"
"https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises","63039","801"
"https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit","62590","839"
"https://www.goodreads.com/book/show/6148028-catching-fire","62207","763"
"https://www.goodreads.com/book/show/7736182-the-lost-hero","62065","750"
"https://www.goodreads.com/book/show/7896527-throne-of-glass","61903","691"
"https://www.goodreads.com/book/show/6479259-spirit-bound","61065","724"
"https://www.goodreads.com/book/show/10025305-clockwork-prince","60864","719"
"https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey","59884","792"
"https://www.goodreads.com/book/show/17250.The_Crucible","59788","796"
"https://www.goodreads.com/book/show/135479.Cat_s_Cradle","59087","720"
"https://www.goodreads.com/book/show/9777.The_God_of_Small_Things","58459","689"
"https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows","58021","776"
"https://www.goodreads.com/book/show/8130077-the-screwtape-letters","57848","713"
"https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring","57762","753"
"https://www.goodreads.com/book/show/561909.The_Hiding_Place","57543","687"
"https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic","57300","759"
"https://www.goodreads.com/book/show/6068551-shiver","56838","661"
